bus,distance_km,va_pu,vb_pu,vc_pu,margin_low_a,margin_high_a,risk_a,viol_a_low,viol_a_high,margin_low_b,margin_high_b,risk_b,viol_b_low,viol_b_high,margin_low_c,margin_high_c,risk_c,viol_c_low,viol_c_high,bus_risk,vuf,vuf_viol,any_voltage_viol
101,0.070017341,0.9674494291480291,0.9918038465199742,1.009638240042662,0.02744942914802917,0.13255057085197097,0.02744942914802917,false,false,0.05180384651997427,0.10819615348002587,0.05180384651997427,false,false,0.06963824004266206,0.09036175995733808,0.06963824004266206,false,false,0.02744942914802917,0.006670589997209279,false,false
475,0.19288306100000005,0.9519511909189896,0.9889768753181379,1.0143341745137175,0.011951190918989663,0.14804880908101048,0.011951190918989663,false,false,0.04897687531813799,0.11102312468186215,0.04897687531813799,false,false,0.0743341745137176,0.08566582548628254,0.0743341745137176,false,false,0.011951190918989663,0.009816859226646537,false,false
619,0.24424393100000003,0.9509448318055179,0.9890082045295504,1.0145412114240084,0.010944831805517974,0.14905516819448217,0.010944831805517974,false,false,0.04900820452955046,0.11099179547044968,0.04900820452955046,false,false,0.07454121142400849,0.08545878857599165,0.07454121142400849,false,false,0.010944831805517974,0.010022072472461532,false,false
505,0.157044805,0.9544595354260395,0.9845958546285973,1.0154797580812387,0.014459535426039505,0.14554046457396064,0.014459535426039505,false,false,0.04459585462859739,0.11540414537140276,0.04459585462859739,false,false,0.07547975808123875,0.0845202419187614,0.07547975808123875,false,false,0.014459535426039505,0.00940147139333458,false,false
332,0.14164547100000002,0.9559291655761404,0.9879612366110949,1.0137910768315699,0.015929165576140436,0.1440708344238597,0.015929165576140436,false,false,0.04796123661109497,0.11203876338890517,0.04796123661109497,false,false,0.07379107683156994,0.08620892316843021,0.07379107683156994,false,false,0.015929165576140436,0.009035777408048654,false,false
817,0.20151218600000004,0.9523781541988715,0.9834481036435948,1.0163615188364554,0.01237815419887156,0.14762184580112858,0.01237815419887156,false,false,0.04344810364359486,0.11655189635640528,0.04344810364359486,false,false,0.07636151883645548,0.08363848116354466,0.07636151883645548,false,false,0.01237815419887156,0.009845810499498878,false,false
453,0.17930876100000004,0.9525563500276976,0.9888476182358281,1.0142433395893935,0.012556350027697616,0.14744364997230253,0.012556350027697616,false,false,0.04884761823582817,0.11115238176417197,0.04884761823582817,false,false,0.07424333958939355,0.08575666041060659,0.07424333958939355,false,false,0.012556350027697616,0.009696241517467695,false,false
289,0.09733513099999999,0.9635002539192836,0.9908082948241205,1.0107196610055762,0.023500253919283676,0.13649974608071647,0.023500253919283676,false,false,0.050808294824120526,0.10919170517587962,0.050808294824120526,false,false,0.07071966100557625,0.08928033899442389,0.07071966100557625,false,false,0.023500253919283676,0.007507635462212061,false,false
596,0.22983433100000003,0.9509446451869051,0.9891289436912432,1.0145054653693142,0.010944645186905189,0.14905535481309495,0.010944645186905189,false,false,0.04912894369124321,0.11087105630875693,0.04912894369124321,false,false,0.07450546536931424,0.0854945346306859,0.07450546536931424,false,false,0.010944645186905189,0.010019475986437112,false,false
387,0.121525759,0.9597646531701313,0.988126963712815,1.0127860783816867,0.01976465317013132,0.14023534682986882,0.01976465317013132,false,false,0.04812696371281511,0.11187303628718503,0.04812696371281511,false,false,0.07278607838168671,0.08721392161831343,0.07278607838168671,false,false,0.01976465317013132,0.00827582494325992,false,false
